Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
19,1,0.5,rbf,0.9070629487393554,0.8210583742498636,0.8752451876261776,0.7674876977924809,0.8162631491066956,0.8074195308237861,0.7475235430823359,0.7318989767532336
19,1,0.5,poly,0.9373852062113875,0.47985347985347987,0.9168112857883247,0.3987644557833636,0.8560694606779095,0.8311121502610864,0.8051581511110529,0.7689289780128321
19,1,0.1,rbf,0.8460176991150442,0.8390616475722859,0.7895198409116253,0.7801473519719417,0.7559525797295041,0.7668926817862988,0.6601942227726332,0.670183305791975
19,1,0.1,poly,0.9066288195024211,0.6552879744369106,0.8747300522458366,0.5769284329150655,0.7401235598597429,0.7441352973267867,0.6376459710362385,0.6366900787457479
19,1,0.05,rbf,0.8140591083653365,0.8260462941314005,0.7440231694445409,0.7586411157622133,0.741425947570546,0.7467071935157041,0.6396738987277308,0.6409742811601405
19,1,0.05,poly,0.8773751878443814,0.8075754033200842,0.8335106639387992,0.7428093012353666,0.6363332776757389,0.6427402384849193,0.4664152533392333,0.46936129209970323
19,1,0.005,rbf,0.7305393220904992,0.740004676174889,0.6245949632903558,0.6327714592283147,0.6365002504591751,0.6411815135219391,0.4671138326645359,0.4673864049073435
19,1,0.005,poly,0.6096510268826182,0.6143714441586782,0.4236771814055905,0.42554176967620794,0.43195859074970777,0.4453277219234666,0.0,0.0
19,1,scale,rbf,0.8767072967106362,0.8545709609539397,0.8327174623065629,0.8051099076960405,0.8369343796961095,0.8185644143090952,0.7773515747957226,0.7489400314366154
19,1,scale,poly,0.9200200367340123,0.5502299119320396,0.8932929645096168,0.4693449513967948,0.8715979295374854,0.8371911776167096,0.8270859394265756,0.7787795228459145
19,5,0.5,rbf,0.9258640841542829,0.7352505650377991,0.9011251886571064,0.6657273647182061,0.8580731340791451,0.8333723014574078,0.8078177158133756,0.7712065620659797
19,5,0.5,poly,0.9470696276506929,0.4546021354531993,0.9297759701819943,0.3604535679186124,0.8721322424444815,0.8374249863611566,0.8278421180368911,0.7791982120093524
19,5,0.1,rbf,0.9008181666388378,0.8081209570571273,0.8665190586603672,0.7529202296416209,0.811554516613792,0.8018860572052061,0.7408191337403951,0.7243476705822856
19,5,0.1,poly,0.9205209550843213,0.5453978645468007,0.8939864862137092,0.46452712587402756,0.7834029053264318,0.7891824487569168,0.699480486450121,0.703416286427576
19,5,0.05,rbf,0.8827517114710303,0.8297092977944042,0.841232479049094,0.7756248958936014,0.7889130071798297,0.7927675161717714,0.7079585564073474,0.7096833615808986
19,5,0.05,poly,0.9018867924528302,0.6872418361780064,0.8681012785380421,0.6116366639109566,0.7296042745032559,0.7318213701192424,0.6219756075496801,0.617991294177543
19,5,0.005,rbf,0.7779261980297212,0.7780375652716078,0.6930112665944677,0.6899650520274443,0.7204207714142595,0.7259761515080664,0.6081299194849782,0.6087973017245489
19,5,0.005,poly,0.6686926031056938,0.6644844517184942,0.531495835716822,0.5191610191888315,0.43195859074970777,0.4453277219234666,0.0,0.0
19,5,scale,rbf,0.9108699282017031,0.7852856363494661,0.8805357855008826,0.7266720888311025,0.8689931541158791,0.8404645000389681,0.8233124602687336,0.7817117023300407
19,5,scale,poly,0.9286692269160127,0.4998830956277765,0.9051030444491637,0.420756710215771,0.8839205209550843,0.8324370664796197,0.8443442005810937,0.7746628022566385
19,10,0.5,rbf,0.9301051928535649,0.6985425921596135,0.9069340404199204,0.6233150921465525,0.8657872766739022,0.839763073805627,0.8188632320639817,0.7807645439346531
19,10,0.5,poly,0.9521789948238437,0.4387810770789494,0.9365720082344429,0.34061243079888714,0.8774085824010687,0.8364897513833685,0.835285828938191,0.7790430608263978
19,10,0.1,rbf,0.9105025880781432,0.7708674304418985,0.8800518066740196,0.7104153189152023,0.8252462848555685,0.8101472995090017,0.7606675664066115,0.7373430190617243
19,10,0.1,poly,0.9252963766905994,0.5171849427168577,0.9005398828106886,0.4372104051869675,0.8051093671731507,0.7957290936014341,0.7311992546825377,0.7146166219993846
19,10,0.05,rbf,0.8969777926198029,0.7987686072792456,0.8612073036582482,0.7418322231856105,0.8098513942227417,0.8006390772348219,0.7385223945854276,0.7228609778265971
19,10,0.05,poly,0.9085657037902822,0.6378302548515314,0.8774441140166763,0.5582065316694074,0.7440641175488395,0.7487335359675785,0.6432847621052965,0.6433911810817623
19,10,0.005,rbf,0.8131240607780932,0.8223832904683969,0.743224249364262,0.7546124611560732,0.7410252128902989,0.7471748110045983,0.6392279137381651,0.6420191596174957
19,10,0.005,poly,0.6893638336951077,0.6996336996336996,0.5653357991671941,0.5738682253748439,0.43195859074970777,0.4453277219234666,0.0,0.0
19,10,scale,rbf,0.918049757889464,0.7379003974748656,0.8904956264275042,0.6715604809861933,0.8764067457004509,0.8436598862130777,0.8338309847404151,0.7866524515568842
19,10,scale,poly,0.9322758390382367,0.49169978957213,0.9099632867289086,0.4105687169498372,0.8882284187677408,0.8308783415166394,0.8503023094297502,0.7737497209277854
19,50,0.5,rbf,0.9417932876941059,0.6151508066401683,0.9226971798022765,0.5337909773771532,0.8813825346468526,0.8438936949575248,0.8408340527973244,0.7875942003717212
19,50,0.5,poly,0.9642678243446319,0.3818876159301691,0.9526609603768036,0.2762987892431227,0.8884287861078645,0.8306445327721923,0.8505830716778697,0.7735005181579155
19,50,0.1,rbf,0.9239271998664218,0.6587171693554672,0.8986012267016059,0.582861482402369,0.8519953247620637,0.8296313615462552,0.7993624658487956,0.7662344806034249
19,50,0.1,poly,0.9329103356152947,0.4878809134128283,0.9108115470286977,0.40655029522525554,0.843412923693438,0.8216818642350557,0.7867926386585989,0.7548046706144035
19,50,0.05,rbf,0.9157455334780431,0.6931649910373314,0.8874070128833049,0.6218776959067622,0.834930706294874,0.817707115579456,0.7748644286762079,0.7490244392874222
19,50,0.05,poly,0.9219235264651862,0.5383836022133894,0.8959121557201646,0.4578368064668633,0.7902153948906329,0.7909749824643442,0.7094857624294837,0.7066571501928697
19,50,0.005,rbf,0.8713307730839873,0.8185644143090952,0.8253535046854392,0.7583056048163833,0.7861078644180999,0.7908191099680462,0.7045012032228215,0.7075459470303629
19,50,0.005,poly,0.7560861579562531,0.7550463720676487,0.6617722835321223,0.6543607244508539,0.5865753882117215,0.591614059699166,0.38351276450296723,0.38385214740380835
19,50,scale,rbf,0.9287026214727,0.6538071857220793,0.9051073230798116,0.5760874672959851,0.888896309901486,0.8496609773205518,0.8512640502541983,0.7958641031377959
19,50,scale,poly,0.9407246618801135,0.46870859636817086,0.9212952899158579,0.3861330621159623,0.8985807313407914,0.8198113942794794,0.8644684523022135,0.7616436166279102
19,100,0.5,rbf,0.9477375187844381,0.580079494973112,0.9306404905692998,0.4957585094628334,0.8864919018200034,0.8468552723871873,0.8479103300363331,0.7920317204289812
19,100,0.5,poly,0.9697445316413424,0.37939365598940067,0.9599360541491744,0.2735956552776888,0.8928702621472699,0.8293196165536592,0.856683355723454,0.772583426215023
