Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
22,1,0.1,rbf,0.8460176991150442,0.8390616475722859,0.7895198409116253,0.7801473519719417,0.9403239271998665,0.9466916062660744,0.9201246615398473,0.9279396764622349
22,1,0.05,rbf,0.8140591083653365,0.8260462941314005,0.7440231694445409,0.7586411157622133,0.9315411587911171,0.9353129140363183,0.908184045429991,0.9122589758871666
22,1,0.005,rbf,0.7305393220904992,0.740004676174889,0.6245949632903558,0.6327714592283147,0.7061946902654868,0.7110903281116047,0.5852576190989467,0.586613750719468
22,1,scale,rbf,0.8767072967106362,0.8545709609539397,0.8327174623065629,0.8051099076960405,0.9683753548171649,0.9703062894552257,0.9579948255744568,0.9601900462945413
22,5,0.1,rbf,0.9008181666388378,0.8081209570571273,0.8665190586603672,0.7529202296416209,0.9572549674403072,0.9588496609773206,0.9431439664113892,0.9447302890549866
22,5,0.05,rbf,0.8827517114710303,0.8297092977944042,0.841232479049094,0.7756248958936014,0.9519786274837202,0.9563557010365521,0.9360679050328902,0.9413123455559831
22,5,0.005,rbf,0.7779261980297212,0.7780375652716078,0.6930112665944677,0.6899650520274443,0.8817164802137252,0.861974904528096,0.8404492816229175,0.8113705132721193
22,5,scale,rbf,0.9108699282017031,0.7852856363494661,0.8805357855008826,0.7266720888311025,0.9840040073468025,0.977788169277531,0.9788248359593558,0.9702866379197569
22,50,0.1,rbf,0.9239271998664218,0.6587171693554672,0.8986012267016059,0.582861482402369,0.9830021706461847,0.9740472293663783,0.9774969222083177,0.9652471991233105
22,50,0.05,rbf,0.9157455334780431,0.6931649910373314,0.8874070128833049,0.6218776959067622,0.9774920687927868,0.9761515080664017,0.9701717137911403,0.9680675484651483
22,50,0.005,rbf,0.8713307730839873,0.8185644143090952,0.8253535046854392,0.7583056048163833,0.951310736349975,0.955342529810615,0.9351304444702547,0.939874676809019
22,50,scale,rbf,0.9287026214727,0.6538071857220793,0.9051073230798116,0.5760874672959851,0.9908164969110035,0.967344712025563,0.9878603192287708,0.9562256214350906
22,100,0.1,rbf,0.9279679412255802,0.6262177538773284,0.9041133185429286,0.5473246773171254,0.9854733678410419,0.966721222040371,0.980780637865651,0.9553947059487818
22,100,0.05,rbf,0.9199198530639505,0.6479619671109033,0.8931580052457542,0.5714973076715266,0.9822674903990649,0.9726443768996961,0.9765239739402268,0.963355695753272
22,100,0.005,rbf,0.8854900651193855,0.7862208713272543,0.8452265540154882,0.7231914579138179,0.9559191851728168,0.9569012547735952,0.9413612320753506,0.942038388905211
22,100,scale,rbf,0.9327099682751712,0.6146831891512743,0.9105505148954871,0.5350704258054166,0.9920854900651194,0.9633699633699634,0.9895405979683337,0.950843143804694
