Iteration,Minimum fractal Diff,Band with Min Diff,New Shape,New X
99,0.00020138181791251597,89,"(2000, 101)",3.400429263273977
100,2.133021686745451e-05,53,"(2000, 100)",3.4004079330571098
101,0.00010033910344864339,90,"(2000, 99)",3.400307593953661
102,6.881142190939826e-05,57,"(2000, 98)",3.4002387825317517
103,3.0437037999320182e-05,92,"(2000, 97)",3.4002083454937524
104,0.0004294366754336032,42,"(2000, 96)",3.399778908818319
105,0.00025220087437904937,86,"(2000, 95)",3.400031109692698
106,0.00017182691726613797,53,"(2000, 94)",3.400202936609964
107,8.253112170564236e-05,92,"(2000, 93)",3.4001204054882583
108,1.7554423992205415e-05,66,"(2000, 92)",3.400102851064266
109,0.00017275680879969002,53,"(2000, 91)",3.3999300942554664
110,6.979163425535617e-05,87,"(2000, 90)",3.399999885889722
111,0.000789818956440147,26,"(2000, 89)",3.3992100669332816
112,7.904421563953434e-05,83,"(2000, 88)",3.399131022717642
113,0.0002565011127648731,71,"(2000, 87)",3.399387523830407
114,6.824121306747699e-05,45,"(2000, 86)",3.3994557650434745
115,1.924532402508561e-05,83,"(2000, 85)",3.3994365197194494
116,6.16563124906655e-05,51,"(2000, 84)",3.3993748634069587
117,0.0012666128375897756,32,"(2000, 83)",3.4006414762445485
118,0.0015493265763306674,49,"(2000, 82)",3.399092149668218
119,3.800251316921077e-05,18,"(2000, 81)",3.399130152181387
120,0.0010224773252232033,18,"(2000, 80)",3.4001526295066102
121,6.5769015136663e-05,24,"(2000, 79)",3.400218398521747
122,0.0011935709668300376,76,"(2000, 78)",3.399024827554917
123,0.0012428196093754451,55,"(2000, 77)",3.4002676471642923
124,0.0007198691589822559,45,"(2000, 76)",3.39954777800531
125,3.867281857594662e-05,72,"(2000, 75)",3.399509105186734
126,0.0013236978147528333,50,"(2000, 74)",3.3981854073719813
127,0.0004323540743929044,37,"(2000, 73)",3.398617761446374
128,0.0013940434250736544,39,"(2000, 72)",3.400011804871448
129,0.0003996712605971453,34,"(2000, 71)",3.400411476132045
130,0.001294443701951753,69,"(2000, 70)",3.399117032430093
131,0.0021036926301660763,28,"(2000, 69)",3.397013339799927
132,0.00013876456051464814,65,"(2000, 68)",3.3968745752394125
133,0.0008715278079622912,31,"(2000, 67)",3.397746103047375
134,0.0006027184049761658,59,"(2000, 66)",3.3971433846423986
135,0.0036826964132190554,55,"(2000, 65)",3.3934606882291796
136,0.004944220055498771,56,"(2000, 64)",3.388516468173681
137,0.005491802828062831,41,"(2000, 63)",3.3940082710017436
138,0.0003223682901221103,57,"(2000, 62)",3.3936859027116215
139,0.0005194640048977739,48,"(2000, 61)",3.3931664387067237
140,0.006161769878267442,17,"(2000, 60)",3.399328208584991
141,0.00357696071847613,34,"(2000, 59)",3.4029051693034673
142,0.014484267864101508,34,"(2000, 58)",3.417389437167569
143,0.0450762590834084,4,"(2000, 57)",3.3723131780841604
144,0.0013584231888081888,55,"(2000, 56)",3.3709547548953522
145,0.00839322258756825,42,"(2000, 55)",3.362561532307784
146,0.004214578862477669,20,"(2000, 54)",3.3667761111702617
147,0.002222225117300969,17,"(2000, 53)",3.3689983362875626
148,0.001472154206975329,51,"(2000, 52)",3.3675261820805873
149,0.0038927865021261,38,"(2000, 51)",3.363633395578461
150,0.0003567265956854193,32,"(2000, 50)",3.3632766689827758
151,0.0024147738926449946,18,"(2000, 49)",3.360861895090131
152,0.0007491861905366548,18,"(2000, 48)",3.360112708899594
153,0.001405051532825663,17,"(2000, 47)",3.3587076573667685
154,0.005132609911406405,14,"(2000, 46)",3.353575047455362
155,0.004274146157257963,44,"(2000, 45)",3.349300901298104
156,0.007355369105641163,39,"(2000, 44)",3.341945532192463
157,0.01155078578375246,13,"(2000, 43)",3.3303947464087105
158,0.0030182724518295068,0,"(2000, 42)",3.327376473956881
159,0.00512934433871326,33,"(2000, 41)",3.3325058182955942
160,0.00029757488886783534,35,"(2000, 40)",3.3322082434067264
161,0.004779028968350918,22,"(2000, 39)",3.3369872723750773
162,0.011899324408852774,37,"(2000, 38)",3.3250879479662245
163,0.005034734881636638,7,"(2000, 37)",3.330122682847861
164,0.01001500924079135,33,"(2000, 36)",3.32010767360707
165,0.008564212746594357,26,"(2000, 35)",3.3115434608604755
166,0.023590681499172206,5,"(2000, 34)",3.3351341423596477
167,0.01378626660688198,31,"(2000, 33)",3.3213478757527657
168,0.001415536185397137,29,"(2000, 32)",3.3199323395673686
169,0.011592102295550077,17,"(2000, 31)",3.3315244418629186
170,0.01175526387491077,27,"(2000, 30)",3.3432797057378294
171,0.03175754381868545,27,"(2000, 29)",3.375037249556515
172,0.05617594788706359,27,"(2000, 28)",3.4312131974435784
173,0.006372108775670071,24,"(2000, 27)",3.4248410886679084
174,0.020870223433817614,1,"(2000, 26)",3.445711312101726
175,0.008696001104519624,18,"(2000, 25)",3.4370153109972064
176,0.005788551223608884,9,"(2000, 24)",3.4428038622208152
177,0.008242959803038463,17,"(2000, 23)",3.4510468220238537
178,0.0046488824461792255,20,"(2000, 22)",3.455695704470033
179,0.02303965067361613,2,"(2000, 21)",3.478735355143649
180,0.007662603910227439,11,"(2000, 20)",3.4863979590538765
181,0.003636709997572485,7,"(2000, 19)",3.482761249056304
182,0.05475835278822494,15,"(2000, 18)",3.537519601844529
183,0.042157713325105206,5,"(2000, 17)",3.4953618885194238
184,0.08354189403103529,9,"(2000, 16)",3.578903782550459
185,0.16429733639989186,12,"(2000, 15)",3.743201118950351
186,0.1318992998749584,5,"(2000, 14)",3.8751004188253093
187,0.17830453007084834,11,"(2000, 13)",4.053404948896158
188,0.1894258881994917,9,"(2000, 12)",4.242830837095649
189,0.05162423028856189,8,"(2000, 11)",4.1912066068070875
190,0.06742416689668573,7,"(2000, 10)",4.258630773703773
191,0.11824813047324678,6,"(2000, 9)",4.37687890417702
192,0.046838382913101384,2,"(2000, 8)",4.330040521263919
193,0.0023560120472581048,5,"(2000, 7)",4.3276845092166605
194,0.14046456298544374,5,"(2000, 6)",4.187219946231217
