Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
30,1,0.5,rbf,0.8652452619843924,0.8086560364464692,0.8449518926227162,0.778742600208287,0.6432552954292085,0.6088512853888708,0.5794110468888585,0.5403361028722382
30,1,0.5,poly,0.9981884057971014,0.7035470224536283,0.9979329298578807,0.6520736611281874,0.7660256410256411,0.604620891636837,0.7295396359155979,0.5523671330549327
30,1,0.1,rbf,0.774386845039019,0.7237227465017898,0.7379670579835595,0.677268492220729,0.5539297658862876,0.5414904002603319,0.45848712880100695,0.44484429227233635
30,1,0.1,poly,0.9382664437012264,0.812886430198503,0.929429061373981,0.7835385540195328,0.5610367892976589,0.5499511877643997,0.46812660866265343,0.4557781551085637
30,1,0.05,rbf,0.7203177257525084,0.6684022128213473,0.6724760933799688,0.6093630260581666,0.5489130434782609,0.5333550276602669,0.4520501748889567,0.4346206488821692
30,1,0.05,poly,0.8638517279821628,0.8106085258704848,0.8434500793026458,0.7810222356304894,0.5188127090301003,0.5017897819720143,0.4138564493873008,0.3951100055259259
30,1,0.005,rbf,0.5291248606465998,0.5105759843800846,0.4275593048056332,0.4072781364150102,0.5047380156075808,0.4874715261958998,0.3946965040764794,0.37558756674893723
30,1,0.005,poly,0.4527591973244147,0.4406117800195249,0.32500958227324717,0.3128486496808591,0.24122073578595318,0.2356003904978848,0.0,0.0
30,1,scale,rbf,0.778288740245262,0.7289293849658315,0.7426438614177568,0.6835012076689917,0.6727982162764772,0.6277253498210218,0.6159501100346344,0.5629160628886481
30,1,scale,poly,0.9445373467112598,0.8099576960624797,0.9366293589381922,0.7802177184762377,0.8014214046822743,0.6228441262609827,0.7715380586141678,0.567626301467647
30,5,0.5,rbf,0.9492753623188406,0.8532378782948259,0.9420232249004059,0.8310901978487301,0.737597547380156,0.6671005532053368,0.6949528272517556,0.6122598824622927
30,5,0.5,poly,1.0,0.6967133094695737,1.0,0.644279492448859,0.8134057971014492,0.6287015945330297,0.785599082191856,0.574252749124808
30,5,0.1,rbf,0.8694258639910813,0.8145135047185161,0.8498211968853349,0.7851715232964185,0.6095317725752508,0.5919297103807354,0.530658590703539,0.5122649442619895
