Bands,C,Gamma,Kernel,Train_Score,Test_Score,Train_Kappa,Test_Kappa,DR_Train_Score,DR_Test_Score,DR_Train_Kappa,DR_Test_Kappa
22,1,0.5,rbf,0.9060945065954249,0.8408541812797132,0.8736438802232853,0.7925500855333266,0.9616630489230256,0.9664094770477749,0.9489075281646224,0.9554218308528764
22,1,0.5,poly,0.9370512606445149,0.3894474320006235,0.9161566657287584,0.30783728933809085,0.9864084154282852,0.8491933598316577,0.9819789389332783,0.8043662858515073
22,1,0.1,rbf,0.8455835698781099,0.8587795183539865,0.7884637235071574,0.80718655194201,0.9425613624979129,0.9444314550697529,0.9230111284669846,0.9252871482593634
22,1,0.1,poly,0.9065620303890466,0.6617566830332787,0.8743934559307321,0.5882218542650186,0.9453331107029554,0.9435741563401138,0.9267878673926185,0.9245270406090792
22,1,0.05,rbf,0.8164301218901319,0.8184085418127971,0.7468825516903577,0.748279534672333,0.9331107029554183,0.9339100615696361,0.9100955109217594,0.9107294504045952
22,1,0.05,poly,0.8753381198864585,0.8263580391239965,0.8303188911516171,0.7654248426508701,0.7894139255301386,0.8260462941314005,0.7101149213621747,0.7605713163189728
22,1,0.005,rbf,0.729871430956754,0.7315875613747954,0.6225934315810691,0.6223276906075838,0.7066956086157956,0.7114020731042008,0.5847400701720568,0.58877776633503
22,1,0.005,poly,0.6121556186341627,0.6103966955030785,0.4258043775629198,0.4227576759181214,0.4346969443980631,0.4389369495752474,0.0,0.0
22,1,scale,rbf,0.874503255969277,0.8604941158132647,0.8292891310779725,0.8123288421748815,0.9687093003840374,0.9456784350401372,0.9583472505068672,0.9282926588608582
22,1,scale,poly,0.9178159959926532,0.5061179954796976,0.8901355186359294,0.43029941591465615,0.987410252128903,0.8502844673057439,0.9833114954690917,0.8055446180782013
22,5,0.5,rbf,0.9236266488562365,0.7431221261008495,0.8979329836787419,0.6809781513699673,0.9823342795124395,0.8985270049099836,0.9765512853959756,0.8673123680149802
22,5,0.5,poly,0.946301552846886,0.28922141688099134,0.9285815375426336,0.19128326794464756,0.9886458507263316,0.856285558413218,0.9849530838609034,0.8130992221453065
22,5,0.1,rbf,0.8992486224745366,0.8410879900241602,0.864115709475204,0.7930660803741337,0.9582568041409251,0.9633699633699634,0.9443646137912068,0.9514065671418961
22,5,0.1,poly,0.9188846218066455,0.49949341438703143,0.8916049047362993,0.4238389379134887,0.9607280013357823,0.884108799002416,0.9476711679118279,0.8489541595668848
